AccY,AccZ,GyroX,GyroY,GyroZ,Label
-1.120,-0.048,-2.802,0.405,-8.954,STANDING
-1.140,-0.218,-19.405,-5.718,19.664,STANDING
-1.081,-0.149,14.595,1.565,-14.489,STANDING
-1.145,-0.137,-5.626,4.412,15.107,STANDING
-1.014,-0.128,18.985,3.275,-4.840,STANDING
-1.185,-0.182,-37.718,15.519,12.344,MOVING
-1.138,-0.089,-37.000,9.206,-6.198,STANDING
-1.136,-0.178,-8.756,1.160,6.252,STANDING
-0.986,-0.152,-47.023,2.214,-38.282,MOVING
-0.963,-0.091,-16.046,16.420,18.313,STANDING
-1.227,-0.103,-13.985,11.374,-9.435,MOVING
-1.058,-0.187,-41.450,7.969,7.573,MOVING
-0.816,-0.123,-16.824,59.710,29.771,MOVING
-1.262,-0.063,-2.115,6.168,19.412,MOVING
-1.276,0.003,1.153,0.840,-19.420,STANDING
-0.936,-0.296,-19.351,-5.672,-4.756,MOVING
-1.161,-0.117,-0.618,4.748,32.122,MOVING
-1.246,-0.106,16.863,2.847,-19.153,STANDING
-0.989,-0.125,26.763,-3.366,-7.618,MOVING
-1.180,-0.119,9.870,0.321,16.313,MOVING
-1.181,-0.134,4.710,3.550,-10.313,STANDING
-1.151,-0.191,-16.198,4.420,4.267,STANDING
-1.168,-0.132,19.382,4.412,-12.099,STANDING
-1.052,-0.179,-32.008,12.427,-0.908,STANDING
-1.241,-0.120,-13.168,6.450,-1.153,MOVING
-1.047,-0.191,-10.221,5.183,3.824,MOVING
-1.187,-0.091,17.031,0.489,-12.595,STANDING
-1.129,-0.146,-23.328,11.725,13.313,STANDING
-1.133,-0.102,12.466,-6.076,-15.656,STANDING
-1.130,-0.149,-17.450,10.221,6.519,STANDING
-1.040,-0.100,0.740,-2.458,-13.153,STANDING
-1.108,-0.044,-7.656,6.863,9.244,STANDING
-1.108,-0.089,6.863,2.481,-11.412,STANDING
-0.934,-0.229,11.733,-9.023,-28.603,STANDING
-1.029,-0.092,-4.313,5.656,27.901,STANDING
-1.179,-0.069,0.336,-2.519,6.015,STANDING
-1.197,-0.075,-3.130,6.893,1.802,STANDING
-1.147,-0.086,12.985,-13.779,-23.489,STANDING
-1.064,-0.116,-37.198,38.870,-4.687,STANDING
-1.247,-0.148,6.420,23.603,-3.344,MOVING
-1.220,-0.231,0.252,0.412,-14.374,STANDING
-1.106,-0.160,-3.855,8.985,-6.809,STANDING
-1.256,-0.076,13.473,-2.229,51.206,STANDING
-1.227,-0.136,2.069,-4.931,-12.649,STANDING
-1.067,-0.187,-43.145,48.420,59.130,MOVING
-1.317,-0.038,3.099,1.176,18.298,MOVING
-1.010,-0.067,33.748,-19.176,-69.519,MOVING
-1.010,-0.129,2.496,-2.901,17.924,STANDING
-1.237,-0.185,22.550,0.237,4.336,MOVING
-1.229,-0.100,12.344,2.550,1.969,STANDING
-1.203,-0.103,13.542,-25.382,-35.969,STANDING
-1.203,-0.345,-37.458,29.099,18.214,STANDING
-1.228,-0.123,-14.366,12.198,2.557,STANDING
-1.138,-0.244,54.374,-5.420,-45.000,STANDING
-1.157,-0.209,-10.023,-6.038,91.275,STANDING
-1.335,-0.153,-3.992,4.649,3.389,MOVING
-1.088,-0.141,10.275,-0.351,-48.695,MOVING
-1.141,-0.092,1.412,6.412,27.115,STANDING
-1.226,-0.006,-3.565,-4.672,-40.382,STANDING
-1.142,-0.203,9.130,11.763,31.374,STANDING
-1.403,-0.198,-9.878,12.969,7.626,MOVING
-1.180,-0.209,-32.092,12.458,31.550,MOVING
-1.263,-0.271,14.031,-4.229,-2.252,STANDING
-1.231,-0.111,-1.672,2.374,17.626,STANDING
-1.347,-0.231,-84.458,34.450,13.939,STANDING
-1.305,-0.236,19.115,-24.527,1.832,STANDING
-1.233,-0.122,80.382,-3.992,-30.992,STANDING
-1.176,0.004,31.718,-18.115,9.000,STANDING
-1.234,-0.132,-9.092,30.031,27.771,STANDING
-1.345,-0.041,24.779,-13.344,-4.718,STANDING
-1.248,-0.042,-24.244,3.580,55.641,STANDING
-1.323,-0.072,74.282,-54.191,15.695,STANDING
-1.391,0.007,126.137,-62.565,-9.924,STANDING
-1.153,-0.064,58.924,-7.794,-20.191,MOVING
-1.276,0.009,7.084,-5.450,30.443,STANDING
-1.331,-0.155,48.656,-4.344,-57.267,STANDING
-1.234,0.045,6.473,-5.221,23.771,STANDING
-1.468,-0.340,-163.855,92.695,9.038,MOVING
-1.361,-0.207,-92.496,65.443,-24.122,STANDING
-1.412,0.163,100.137,80.580,-13.023,STANDING
-1.326,-0.166,-8.031,20.626,27.176,STANDING
-1.182,-0.218,23.168,-24.695,16.130,STANDING
-1.350,-0.126,8.336,0.977,-20.748,MOVING
-1.383,-0.151,64.916,-32.931,-5.366,STANDING
-1.232,-0.236,90.031,-21.687,-7.275,STANDING
-1.366,-0.370,-67.450,34.397,-0.389,MOVING
-1.259,-0.206,-53.969,5.229,23.519,STANDING
-1.218,-0.034,7.382,-9.863,-26.145,STANDING
