AcX,AcY,AcZ,GyX,GyY,GyZ,Activity
-2648,-2400,15648,-205,-284,-1616,standing
-2168,-536,15816,71,-1563,-431,standing
-1788,264,15860,-34,931,-3888,standing
-1820,-44,15928,-400,819,-926,standing
-1196,-856,15912,-440,-707,-35,standing
-1560,-88,15872,-402,-241,465,standing
-1088,-348,15892,-316,-202,-47,standing
-388,-1532,15936,-431,112,-72,standing
-828,-788,15800,487,111,-3281,standing
-800,-1376,15856,104,543,-2760,standing
-696,-720,15760,444,1240,-4881,standing
-1016,-604,15808,424,400,-4420,standing
-1568,380,15972,259,1108,-2997,standing
-1008,48,16104,-1424,-1348,3296,standing
-664,88,15832,-707,252,1091,standing
-772,1156,16156,-180,-2683,-529,standing
864,-2588,15816,-437,-159,249,standing
608,-3760,15644,-313,1769,-4881,standing
-2828,1652,16296,875,2286,-6326,standing
-1808,1744,16348,-912,-1611,3198,standing
1700,-4444,15696,-1726,-1588,3644,standing
-120,-3208,15660,151,1526,-4998,standing
-1580,252,16052,817,1448,-4775,standing
-2196,1776,16256,894,1078,-4158,standing
-2160,2536,16412,-1339,-1219,3332,standing
2448,-3380,15724,-1721,-3707,5290,standing
2140,-5260,15508,-689,840,-1006,standing
-340,-2936,15688,-1192,2670,-505,standing
-2320,-708,15784,-620,-872,302,standing
-1916,-1012,16608,-367,-1021,-340,standing
-2304,-1280,16476,-1668,-1485,123,standing
-1296,-2356,15524,-669,-1598,1301,standing
-12,-544,16260,-667,191,370,standing
-744,-4120,15408,-886,945,3852,standing
252,-2084,15920,-738,-49,2191,standing
1188,-4076,15660,-651,568,2518,standing
988,-5612,15304,-794,1313,-1667,standing
0,-4460,15484,15,1373,-4008,standing
-1724,348,16016,1222,2362,-4851,standing
-1928,2308,16464,146,-1458,-676,standing
-1904,1488,16248,-644,-1448,1364,standing
-760,260,16152,-796,-1141,1840,standing
-172,-1184,15864,-713,-906,1904,standing
308,-1248,15820,-419,-268,-488,standing
-280,-1200,16072,-432,66,184,standing
-604,-1856,15920,-1240,3006,-710,standing
-24,-1408,16088,-634,1372,-1692,standing
-1120,-2180,15716,-305,-40,-2412,standing
-2252,-2040,15600,263,1450,-2966,standing
-1524,-64,16268,-1345,-2695,3148,standing
-1200,-3008,15508,863,2239,-5794,standing
-964,-532,16012,-1159,-4083,6153,standing
1440,-4600,15232,466,1364,-4516,standing
-3304,-1200,15872,1272,2831,-4558,standing
-704,-600,16028,-1604,-3789,7269,standing
1512,-4580,15704,-686,736,155,standing
-268,-3576,15672,-154,1207,-4905,standing
-1244,-240,15952,112,-1545,-2969,standing
-1380,204,16064,-1197,-3135,5123,standing
488,-3072,15668,536,3103,-11175,standing
-2304,-148,16160,-1363,-1589,1351,standing
2852,-1268,16160,-19,-1395,-2821,standing
-2356,-2588,15200,1006,3728,-9316,standing
-4160,1688,16552,-2005,-2866,8130,standing
-24,-2992,15628,708,4605,-10494,standing
-88,-2200,15840,-2446,-12312,17291,standing
-2940,2072,16412,-1137,-40,6713,standing
-3600,1140,16172,-682,66,2669,standing
-1076,348,15944,1749,6165,-11132,standing
2128,-6708,15532,-67,-3768,-4475,standing
1660,-5700,15288,-708,-4592,-2390,standing
1992,-4372,15640,-1391,-5235,6475,standing
-2228,1040,16200,-843,-1068,2432,standing
676,-2236,15696,-124,3384,-4440,standing
428,-592,16228,-811,-2180,6540,standing
1408,-5004,15704,-97,500,-4160,standing
364,-1340,15884,-1744,-2377,8878,standing
-1572,600,16412,-124,3319,-3733,standing
